iter	Passed	Remaining
144	534	3152
145	536	3137
146	537	3121
147	539	3106
148	541	3091
149	542	3076
150	544	3063
151	546	3047
152	547	3033
153	549	3019
154	551	3005
155	552	2991
156	554	2977
157	556	2963
158	557	2950
159	559	2937
160	560	2921
161	562	2908
162	563	2896
163	565	2883
164	567	2871
165	568	2858
166	570	2846
167	572	2833
168	573	2821
169	575	2810
170	577	2798
171	579	2787
172	580	2775
173	582	2763
174	583	2751
175	585	2741
176	587	2729
177	588	2719
178	590	2708
179	592	2697
180	593	2687
181	595	2675
182	597	2665
183	598	2655
184	600	2644
185	601	2633
186	603	2623
187	605	2614
188	606	2604
189	608	2594
190	610	2584
191	611	2574
192	613	2565
193	623	2588
194	625	2580
195	627	2573
196	629	2566
197	632	2560
198	634	2553
199	636	2546
200	639	2540
201	641	2535
202	644	2529
203	646	2521
204	647	2512
205	649	2504
206	651	2496
207	653	2487
208	654	2478
209	656	2469
210	658	2460
211	659	2452
212	661	2444
213	663	2436
214	665	2428
215	666	2420
216	668	2411
217	669	2402
218	671	2395
219	674	2390
220	675	2382
221	677	2374
222	679	2367
223	681	2359
224	682	2351
225	684	2343
226	686	2336
227	687	2328
228	689	2321
229	691	2313
230	692	2305
231	694	2298
232	696	2291
233	697	2284
234	699	2276
235	700	2268
236	702	2261
237	703	2253
238	705	2246
239	707	2239
240	708	2232
241	710	2225
242	712	2218
243	713	2211
244	715	2205
245	717	2199
246	719	2192
247	720	2185
248	722	2178
249	723	2171
250	725	2165
251	727	2158
252	728	2152
253	730	2145
254	732	2139
255	733	2132
256	735	2126
257	737	2120
258	738	2113
259	740	2107
260	742	2102
261	744	2096
262	745	2090
263	747	2084
264	749	2077
265	750	2072
266	752	2065
267	754	2060
268	756	2055
269	758	2049
270	759	2043
271	761	2037
272	762	2031
273	764	2025
274	766	2019
275	767	2013
276	769	2008
277	771	2002
278	772	1996
279	774	1991
280	775	1985
281	777	1979
282	779	1974
283	780	1968
284	782	1962
285	784	1958
286	785	1952
287	787	1947
288	789	1941
289	790	1936
290	792	1930
291	794	1925
292	795	1920
293	797	1914
294	799	1909
295	800	1904
296	802	1898
297	803	1893
298	805	1887
299	806	1882
300	808	1876
301	809	1871
302	811	1865
303	812	1861
304	814	1855
305	815	1849
306	817	1844
307	818	1838
308	819	1833
309	821	1827
310	822	1822
311	824	1817
312	826	1813
313	827	1807
314	829	1803
315	830	1797
316	832	1792
317	833	1787
318	835	1782
319	836	1778
320	838	1772
321	839	1768
322	841	1763
323	843	1758
324	844	1754
325	846	1750
326	848	1746
327	850	1741
328	852	1737
329	854	1734
330	855	1729
331	857	1725
332	859	1721
333	861	1718
334	864	1715
335	865	1710
336	867	1706
337	869	1702
338	871	1698
339	872	1694
340	874	1690
341	876	1685
342	877	1681
343	879	1676
344	881	1672
345	882	1668
346	884	1664
347	886	1660
348	887	1655
349	889	1651
350	890	1647
351	892	1643
352	894	1639
353	896	1635
354	897	1631
355	899	1626
356	901	1622
357	902	1619
358	904	1615
359	906	1610
360	907	1607
361	909	1603
362	911	1599
363	913	1595
364	914	1591
365	916	1587
366	917	1583
367	919	1579
368	920	1574
369	922	1570
370	923	1566
371	925	1562
372	927	1558
373	928	1554
374	929	1549
375	931	1545
376	932	1541
377	934	1537
378	935	1532
379	936	1528
380	938	1524
381	939	1520
382	941	1516
383	942	1512
384	944	1508
385	946	1504
386	947	1501
387	949	1497
388	950	1493
389	952	1490
390	954	1486
391	956	1483
392	957	1479
393	959	1475
394	960	1471
395	962	1467
396	963	1463
397	965	1460
398	967	1456
399	968	1452
400	970	1449
401	971	1445
402	973	1442
403	975	1438
404	976	1434
405	978	1431
406	980	1427
407	981	1424
408	983	1420
409	984	1417
410	986	1413
411	988	1410
412	989	1406
413	991	1403
414	992	1399
415	994	1396
416	996	1392
417	997	1389
418	999	1385
419	1000	1381
420	1002	1378
421	1004	1375
422	1005	1371
423	1007	1368
424	1008	1364
425	1010	1361
426	1012	1358
427	1013	1354
428	1015	1351
429	1017	1348
430	1019	1345
431	1020	1342
432	1022	1338
433	1023	1335
434	1025	1331
435	1026	1328
436	1028	1324
437	1030	1321
438	1031	1318
439	1032	1314
440	1034	1310
441	1035	1307
442	1037	1304
443	1038	1300
444	1040	1297
445	1041	1294
446	1043	1291
447	1045	1288
448	1047	1285
449	1048	1281
